Id,Name,IconImg,Type,Desc,ElementSynergy,StatSynergy,HP,MP,SPD,ATKSPD,ATK,MATK,DEF,CDR,HPGEN,CRT,RANGE,DRAIN,HPPer,MPPer,SPDPer,ATKSPDPer,ATKPer,MATKPer,DEFPer,CDRPer,HPGENPer,CRTPer,RANGEPer,DRAINPer,IncreasedElementProperty,IncreasedElementPropertyMultiply,IncreasedAttackProperty,IncreasedAttackPropertyMultiply,IncreasedSkillId,ItemSkillId
int:pk,string,string,enum:EItemType,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,float,float,float,float,float,float,float,float,float,float,float,float,int,float,int,float,int,int
#id,#id,#path,#id,#설명,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#자연 속성 강화 종류,#자연 속성 강화 계수,#타격 속성 강화 종류,#타격 속성 강화 계수,#강화 스킬 Id,#아이템 고유 스킬  ID
100001,철탑의 방패,item_1,SWORD,철탑의 방패 입니다,1`1`1`1`1,1`1`1`1`1,300,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0
100002,신비한 물약,item_2,PORTION,신비한 물약입니다,1`1`1`1`1,1`1`1`1`1,300,300,0,300,300,300,300,300,300,300,300,300,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0
100003,강화된 지팡이,item_3,SWORD,강화된 지팡이입니다,1`1`1`1`1,1`1`1`1`1,300,300,0,300,300,300,300,300,300,300,300,300,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0
100004,강회된 검,item_4,SWORD,강회된 검입니다,1`1`1`1`1,1`1`1`1`1,300,300,0,300,300,300,300,300,300,300,300,300,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0
100005,자연의 수호자,item_5,SWORD,자연의 수호자입니다,1`1`1`1`1,1`1`1`1`1,300,300,0,300,300,300,300,300,300,300,300,300,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0
100006,천상계의 날개,item_1,BODY,천상계의 날개입니다,1`1`1`1`1,1`1`1`1`1,300,300,0,300,300,300,300,300,300,300,300,300,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0
100007,불멸의 갑옷,item_1,BODY,불멸의 갑옷입니다,1`1`1`1`1,1`1`1`1`1,300,300,0,300,300,300,300,300,300,300,300,300,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0
100008,성스러운 십자가,item_1,NORMAL,성스러운 십자가입니다,1`1`1`1`1,1`1`1`1`1,300,300,0,300,300,300,300,300,300,300,300,300,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0
100009,블러드 소드,item_1,SWORD,블러드 소드입니다,1`1`1`1`1,1`1`1`1`1,300,300,0,300,300,300,300,300,300,300,300,300,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0
100010,거대한 방패,item_1,SWORD,거대한 방패입니다,1`1`1`1`1,1`1`1`1`1,300,300,0,300,300,300,300,300,300,300,300,300,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0
100011,체력회복 물약,item_1,PORTION,체력회복 물약입니다,1`1`1`1`1,1`1`1`1`1,300,300,0,300,300,300,300,300,300,300,300,300,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0
100012,화염강화 오일,item_1,PORTION,화염강화 오일입니다,1`1`1`1`1,1`1`1`1`1,300,300,0,300,300,300,300,300,300,300,300,300,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0
100013,강철 갑옷,item_1,BODY,강철 갑옷입니다,1`1`1`1`1,1`1`1`1`1,300,300,0,300,300,300,300,300,300,300,300,300,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0
199999,개발용 ,item_1,NORMAL,개발용 보유효과 아이템입니다,1`1`1`1`1,1`1`1`1`1,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
